Year,District Name,District_Code.x,In_District_Expenditures,Total_In_District_FTEs,In_District_Expenditures_Per_Pupil,Total_Expenditures,Total_Pupil_FTEs,Total_Expenditures_Per_Pupil,District_Code.y,Cohort_Size,Percent_Graduated,Percent_Still_in_School,Percent_Non_Grad_Completers,Percent_HS_Equiv,Percent_Dropped_Out,Percent_Excluded,Percent_American_Indian,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Multi_Race,Percent_Pacific_Islander,Percent_White,Percent_Female,Percent_Male,SAT_Tests_Taken,SAT_Reading_Writing_Mean_Score,SAT_Math_Mean_Score,Student_Teacher_Ratio,Low_Income_Percent
2008,abington,00010000,"$21,073,940.47","2,368.5","$8,897.59","$24,152,005.16","2,437.2","$9,909.73",10000,124,91.1,4,0,0.8,4,0,0,0.7,1.8,1.5,NA,NA,96,48.5,51.5,103,492,512,13.4,32.5
2009,abington,00010000,"$22,232,934.96","2,306.2","$9,640.59","$25,719,722.06","2,385.6","$10,781.33",10000,139,93.5,1.4,0,0.7,4.3,0,0,0.7,2,1.3,NA,NA,96,48.8,51.2,102,502.5,523,13.4,32.5
2010,abington,00010000,"$20,450,308.39","2,228.9","$9,175.07","$23,636,399.95","2,306.6","$10,247.29",10000,134,87.3,5.2,0,0.7,6.7,0,0.1,0.6,1.4,2,0.6,0.4,94.8,48.8,51.2,93,505,522,13.4,32.5
2011,abington,00010000,"$21,233,375.95","2,038.7","$10,415.15","$24,188,676.74","2,119.0","$11,415.14",10000,128,93.8,1.6,0,1.6,3.1,0,0.2,0.8,1.6,2.5,0.7,0.3,94,48.5,51.5,105,501.5,516,13.4,32.5
2012,abington,00010000,"$21,852,362.22","2,031.7","$10,755.70","$25,162,057.35","2,122.5","$11,854.92",10000,117,85.5,3.4,1.7,3.4,6,0,0.3,0.6,1.7,3.1,0.5,0.3,93.5,48.1,51.9,84,485,508,13.4,32.5
2013,abington,00010000,"$22,094,058.81","2,052.2","$10,766.04","$25,629,422.20","2,138.0","$11,987.57",10000,127,89.8,2.4,0,2.4,5.5,0,0.4,1,1.5,3.1,1,0.1,92.9,48.5,51.5,103,497.5,505,13.4,32.5
2014,abington,00010000,"$22,779,478.72","1,943.1","$11,723.27","$26,449,957.74","2,036.7","$12,986.67",10000,89,86.5,4.5,0,2.2,6.7,0,0.2,1.1,1.6,2.9,0.7,0,93.5,49.1,50.9,66,0,496,13.4,32.5
2015,abington,00010000,"$23,365,711.00","1,939.0","$12,050.39","$27,229,101.00","2,051.8","$13,270.84",10000,114,95.6,1.8,0,0,2.6,0,0.1,1.4,1.7,2.8,0.5,0,93.3,49.6,50.4,93,0,498,13.4,32.5
2016,abington,00010000,"$24,591,377.00","1,919.1","$12,814.02","$28,487,257.00","2,028.0","$14,046.97",10000,100,92,2,0,1,5,0,0,1.4,1.7,3,0.4,0,93.4,49,51,98,0,516,13.4,32.5
2017,abington,00010000,"$25,908,215.00","1,926.2","$13,450.43","$29,737,218.00","2,040.5","$14,573.50",10000,84,95.2,2.4,0,0,2.4,0,0.2,1.6,1.8,2.9,0.2,0,93.3,48.9,51.1,140,537,532,13.4,32.5
2018,abington,00010000,"$27,401,268.06","2,035.5","$13,461.69","$31,082,174.03","2,139.6","$14,527.10",10000,117,93.2,5.1,0,0,1.7,0,0.4,1.8,2.1,3.6,0.3,0.1,91.8,48.7,51.3,139,550,535,13.4,32.5
2019,abington,00010000,"$28,935,060.43","2,064.7","$14,014.17","$32,687,048.06","2,166.7","$15,086.10",10000,100,94,2,0,0,4,0,0.3,1.6,2,4,0.4,0.1,91.6,48.7,51.3,148,528,525,13.4,32.5
2020,abington,00010000,"$29,446,070.52","2,146.0","$13,721.37","$34,045,424.41","2,253.2","$15,109.81",10000,105,96.2,2.9,0,0,1,0,0,0.5,2.7,5,2.2,0.1,89.5,49.4,50.6,66,533,539,13.4,32.5
2021,abington,00010000,"$31,632,120.91","2,124.7","$14,887.81","$36,223,802.52","2,243.9","$16,143.23",10000,137,94.9,1.5,0,0,3.6,0,0.2,1.8,2.3,6.9,0.4,0.1,88.3,49.8,50.2,64,565,534,13.4,32.5
2022,abington,00010000,"$33,667,339.55","2,151.3","$15,649.77","$38,794,704.12","2,296.7","$16,891.50",10000,141,95,2.1,0,0,2.8,0,0.3,2,3.1,7.9,0.7,0.1,85.9,49.5,50.5,126,549,521,13.4,32.5
2023,abington,00010000,"$35,603,421.16","2,143.5","$16,609.95","$41,098,932.87","2,297.3","$17,890.10",10000,136,91.2,1.5,0.7,0,6.6,0,0.4,2.2,3.6,7.5,0.9,0.1,85.3,49.3,50.7,107,548,524,13.4,32.5
2008,acton,00020000,"$25,129,396.26","2,591.9","$9,695.36","$26,980,876.26","2,623.8","$10,283.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,acton,00020000,"$26,701,929.00","2,566.7","$10,403.38","$28,587,544.00","2,596.3","$11,011.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,acton,00020000,"$27,678,375.00","2,618.5","$10,570.32","$29,809,645.00","2,650.6","$11,246.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,acton,00020000,"$27,934,264.35","2,572.3","$10,859.64","$29,792,353.69","2,595.1","$11,480.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,acton,00020000,"$28,246,036.00","2,525.8","$11,183.01","$29,850,051.00","2,558.0","$11,669.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,acton,00020000,"$28,981,055.00","2,511.3","$11,540.26","$30,976,806.00","2,545.6","$12,168.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,acton,00020000,"$29,598,949.00","2,453.3","$12,064.95","$31,443,134.00","2,500.7","$12,573.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,acton-boxborough,06000000,"$32,260,157.20","2,921.0","$11,044.22","$36,961,581.20","3,022.7","$12,228.00",6e+06,430,97.9,1.2,0,0.5,0.5,0,0.2,13,1.2,1.5,NA,NA,84.1,49,51,462,605.5,628,12.9,11.5
