,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math
0,2023,Abby Kelley Foster Charter Public (District),4450000,88,100,0,0,0,0,0,4450000,0.2,3.4,51.3,22.7,2.5,0.1,19.7,52.5,47.5,83,516,513
1,2023,Abington,10000,136,91.2,1.5,0.7,0,6.6,0,10000,0.4,2.2,3.6,7.5,0.9,0.1,85.3,49.3,50.7,107,548,524
2,2023,Academy Of the Pacific Rim Charter Public (District),4120000,53,96.2,1.9,0,0,1.9,0,4120000,0,1.1,60.5,27,2.3,0.2,8.9,49.2,50.8,1,nil,nil
3,2023,Acton-Boxborough,6000000,436,96.8,2.8,0,0,0.5,0,6000000,0.2,33,2.4,5.2,4.6,0.1,54.6,48.1,51.9,402,656,680
4,2023,Advanced Math and Science Academy Charter (District),4300000,137,99.3,0.7,0,0,0,0,4300000,0.3,17.4,1.8,5.7,7.1,0,67.7,48,52,159,592,614
5,2023,Agawam,50000,238,92.4,0.8,1.7,0.4,4.6,0,50000,0,3.2,2.2,8,2.7,0,83.8,48.6,51.4,88,563,552
6,2023,Amesbury,70000,108,90.7,0.9,0.9,0.9,6.5,0,70000,0.1,1.2,1.8,7.8,3.9,0.1,85,47.3,52.7,64,563,541
7,2023,Amherst-Pelham,6050000,184,93.5,3.8,0.5,1.1,1.1,0,6050000,0.1,9.1,7.5,16.7,8.6,0.1,57.9,49.2,50.7,143,624,611
8,2023,Andover,90000,404,97.3,2,0.2,0,0.5,0,90000,0.2,18.4,2.2,6.2,3,0,70,50.1,49.8,410,611,616
9,2023,Argosy Collegiate Charter School (District),35090000,50,78,8,0,0,12,2,35090000,0.2,1.7,10.7,18.7,5.6,0,63.1,46.8,53.2,10,522,529
10,2023,Arlington,100000,341,97.1,2.3,0,0,0.6,0,100000,0.1,12.9,3.5,6.2,6.2,0.1,71,49.1,50.9,434,625,620
11,2023,Ashburnham-Westminster,6100000,152,96.7,1.3,0,0,2,0,6100000,0,0.9,0.6,4.8,2.6,0,91,49.6,50.4,76,597,583
12,2023,Ashland,140000,167,98.2,0,0,0,1.8,0,140000,0.6,14.8,2.5,11.7,3.2,0,67.1,50.6,49.4,220,588,604
13,2023,Assabet Valley Regional Vocational Technical,8010000,259,96.9,0,0,0,3.1,0,8010000,0.3,0.5,1,16.5,2.6,0,79.1,40,59.9,46,540,510
14,2023,Athol-Royalston,6150000,57,87.7,10.5,0,0,1.8,0,6150000,0,1.4,1.4,9.2,3.4,0,84.6,47.2,52.8,14,540,485
15,2023,Atlantis Charter (District),4910000,69,92.8,0,0,0,4.3,2.9,4910000,0.2,1.8,5.6,10.7,3.8,0.1,77.9,52.2,47.8,129,431,419
16,2023,Attleboro,160000,398,94.2,3,0,0,2.8,0,160000,0.2,4.7,6.3,14.8,6.2,0.1,67.7,47.3,52.6,231,554,534
17,2023,Auburn,170000,177,97.2,0.6,1.1,0.6,0.6,0,170000,0.1,3.8,1.8,8.9,3.5,0,81.9,49.5,50.5,119,572,561
18,2023,Avon,180000,35,94.3,2.9,0,0,2.9,0,180000,0.3,4.8,30.5,8.9,5.8,0,49.7,47.4,52.6,10,545,507
19,2023,Ayer Shirley School District,6160000,83,90.4,6,1.2,0,2.4,0,6160000,0.8,2.9,4,10.5,5.5,0.4,75.9,48.2,51.8,51,554,490
20,2023,Barnstable,200000,271,87.8,7,1.1,0.4,3.7,0,200000,0.4,1.9,7.8,15,5.3,0.3,69.4,48.8,51.2,151,565,548
21,2023,Baystate Academy Charter Public School (District),35020000,44,88.6,2.3,0,0,6.8,2.3,35020000,0,0.6,24.6,68.4,1.2,0.2,5,50.2,49.8,26,447,458
22,2023,Bedford,230000,184,98.9,0.5,0,0,0.5,0,230000,0,17.1,6.2,5.8,5.5,0.1,65.3,48.9,51.1,214,630,637
23,2023,Belchertown,240000,175,93.7,2.9,0,0,3.4,0,240000,0.2,1.6,2,4.5,3.2,0.2,88.4,49.4,50.6,102,561,543
24,2023,Bellingham,250000,115,91.3,3.5,0,0,5.2,0,250000,0.1,2.7,1.9,4.5,2.1,0.4,88.2,49.6,50.3,90,555,517
25,2023,Belmont,260000,289,97.6,2.4,0,0,0,0,260000,0.1,20.1,3.4,4.2,7.1,0.1,65.1,49,51,351,644,656
26,2023,Berkshire Arts and Technology Charter Public (District),4140000,31,90.3,3.2,0,0,6.5,0,4140000,0.3,2.9,11.9,9.3,5.8,0,69.8,47.4,52.6,12,575,530
27,2023,Berkshire Hills,6180000,100,91,4,0,0,5,0,6180000,0.2,2.7,1.7,8.7,5.2,0.2,81.3,48.7,51.3,66,557,532
28,2023,Berlin-Boylston,6200000,59,93.2,1.7,0,0,5.1,0,6200000,0,3.6,2.4,3.4,2.6,0.2,87.8,46.5,53.5,66,587,581
29,2023,Beverly,300000,283,94.7,3.5,0.7,0,1.1,0,300000,0,2.4,3.4,13.4,3.5,0,77.2,48,52,277,553,521
30,2023,Billerica,310000,261,94.6,3.1,0,0.4,1.9,0,310000,0.1,7.9,4.5,6.6,3.1,0.1,77.7,48.8,51.2,218,559,551
31,2023,Blackstone Valley Regional Vocational Technical,8050000,289,100,0,0,0,0,0,8050000,0,2,0.9,4.4,1.4,0,91.4,50.4,49.6,201,573,540
32,2023,Blackstone-Millville,6220000,87,92,0,1.1,1.1,5.7,0,6220000,0,0.9,1.1,6.9,4.1,0,87.1,47.9,52.1,35,537,495
33,2023,Blue Hills Regional Vocational Technical,8060000,200,99,0.5,0,0,0.5,0,8060000,0.6,1.4,22.7,12.7,4.4,0.1,58.1,43.9,56.1,50,533,505
34,2023,Boston,350000,"3,019",83.9,9.3,0.1,0.1,6.7,0,350000,0.3,8.9,30.9,42.1,3.1,0.1,14.6,48.3,51.6,"3,083",510,515
35,2023,Boston Collegiate Charter (District),4490000,65,93.8,4.6,0,0,1.5,0,4490000,0.1,2.3,31.7,18.3,2.2,0,45.3,50.1,49.9,68,478,465
36,2023,Boston Day and Evening Academy Charter (District),4240000,8,25,12.5,12.5,0,50,0,4240000,0.5,1,47.3,43,2.6,0,5.7,50.8,48.9,4,nil,nil
37,2023,Boston Green Academy Horace Mann Charter School (District),4110000,60,88.3,8.3,3.3,0,0,0,4110000,0.2,2.7,45,40.1,2.5,0.4,9,49.2,50.8,48,411,411
38,2023,Boston Preparatory Charter Public (District),4160000,65,95.4,4.6,0,0,0,0,4160000,0.2,1.7,65,28.9,2.9,0.2,1.1,50.8,49.2,91,428,424
39,2023,Bourne,360000,79,92.4,2.5,0,1.3,3.8,0,360000,0.9,1.6,1.5,5.9,3.2,0.2,86.8,51.1,48.9,124,513,486
40,2023,Braintree,400000,382,96.1,2.1,0.8,0.3,0.8,0,400000,0.1,19.8,4.8,4.8,1.5,0.1,68.8,49.7,50.3,361,573,578
41,2023,Bridgewater-Raynham,6250000,281,95.4,2.5,0.4,0,1.8,0,6250000,0.1,2,5.2,1.1,4.4,0.1,87,48.5,51.5,181,560,546
42,2023,Bristol County Agricultural,9100000,101,98,0,0,0,2,0,9100000,0,0,1.3,4,1.3,0.2,93.2,72,27.5,36,535,526
43,2023,Bristol-Plymouth Regional Vocational Technical,8100000,313,95.8,0.6,0,0,3.5,0,8100000,0.7,0.6,3.2,6.7,3.4,0,85.4,41.6,58.2,86,531,507
44,2023,Brockton,440000,935,75.8,9.8,3,0,11.3,0,440000,0.4,2,59.4,15.8,4.5,0.2,17.7,47.9,52.1,194,513,488
45,2023,Brooke Charter School (District),4280000,101,94.1,3,0,0,3,0,4280000,0.1,1.8,53.4,38.5,1.6,0,4.5,51.6,48.4,125,485,506
46,2023,Brookline,460000,443,96.6,2,0,0,1.4,0,460000,0,20.1,5.8,10.7,9.5,0.1,53.9,49.1,50.7,444,647,661
47,2023,Burlington,480000,212,95.3,3.8,0,0,0.9,0,480000,0.3,17,6.1,6.2,4.1,0,66.4,49.4,50.6,167,585,575
48,2023,Cambridge,490000,421,92.6,6.4,0,0.2,0.7,0,490000,0.3,12.8,23.8,13.7,8.7,0.2,40.5,49.5,50.5,374,607,587
49,2023,Canton,500000,197,95.9,3.6,0,0,0,0.5,500000,0,10.8,10.5,5.1,5.6,0.2,67.8,50.1,49.8,267,557,555
50,2023,Cape Cod Regional Vocational Technical,8150000,131,97.7,0.8,0,0,1.5,0,8150000,1.9,0.7,7.9,12.1,4.4,0.5,72.5,34.7,65.3,45,508,474
