...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
1,2023,abington,10000,136,91.2,1.5,0.7,0,6.6,0,10000,0.4,2.2,3.6,7.5,0.9,0.1,85.3,49.3,50.7,107,548,524,13.4,32.5
3,2023,acton-boxborough,6000000,436,96.8,2.8,0,0,0.5,0,6000000,0.2,33,2.4,5.2,4.6,0.1,54.6,48.1,51.9,402,656,680,12.9,11.5
5,2023,agawam,50000,238,92.4,0.8,1.7,0.4,4.6,0,50000,0,3.2,2.2,8,2.7,0,83.8,48.6,51.4,88,563,552,12.6,43.1
6,2023,amesbury,70000,108,90.7,0.9,0.9,0.9,6.5,0,70000,0.1,1.2,1.8,7.8,3.9,0.1,85,47.3,52.7,64,563,541,10.7,33.4
7,2023,amherst-pelham,6050000,184,93.5,3.8,0.5,1.1,1.1,0,6050000,0.1,9.1,7.5,16.7,8.6,0.1,57.9,49.2,50.7,143,624,611,11.1,29
8,2023,andover,90000,404,97.3,2,0.2,0,0.5,0,90000,0.2,18.4,2.2,6.2,3,0,70,50.1,49.8,410,611,616,11.6,12.2
10,2023,arlington,100000,341,97.1,2.3,0,0,0.6,0,100000,0.1,12.9,3.5,6.2,6.2,0.1,71,49.1,50.9,434,625,620,12.2,10.6
11,2023,ashburnham-westminster,6100000,152,96.7,1.3,0,0,2,0,6100000,0,0.9,0.6,4.8,2.6,0,91,49.6,50.4,76,597,583,13.6,24.5
12,2023,ashland,140000,167,98.2,0,0,0,1.8,0,140000,0.6,14.8,2.5,11.7,3.2,0,67.1,50.6,49.4,220,588,604,13.1,21.8
13,2023,assabet valley regional vocational technical,8010000,259,96.9,0,0,0,3.1,0,8010000,0.3,0.5,1,16.5,2.6,0,79.1,40,59.9,46,540,510,9.9,43
14,2023,athol-royalston,6150000,57,87.7,10.5,0,0,1.8,0,6150000,0,1.4,1.4,9.2,3.4,0,84.6,47.2,52.8,14,540,485,12.8,64.1
16,2023,attleboro,160000,398,94.2,3,0,0,2.8,0,160000,0.2,4.7,6.3,14.8,6.2,0.1,67.7,47.3,52.6,231,554,534,14.9,40.5
17,2023,auburn,170000,177,97.2,0.6,1.1,0.6,0.6,0,170000,0.1,3.8,1.8,8.9,3.5,0,81.9,49.5,50.5,119,572,561,13.4,27.6
18,2023,avon,180000,35,94.3,2.9,0,0,2.9,0,180000,0.3,4.8,30.5,8.9,5.8,0,49.7,47.4,52.6,10,545,507,9.7,45.9
19,2023,ayer shirley school district,6160000,83,90.4,6,1.2,0,2.4,0,6160000,0.8,2.9,4,10.5,5.5,0.4,75.9,48.2,51.8,51,554,490,12.1,31.7
20,2023,barnstable,200000,271,87.8,7,1.1,0.4,3.7,0,200000,0.4,1.9,7.8,15,5.3,0.3,69.4,48.8,51.2,151,565,548,11.2,53.3
22,2023,bedford,230000,184,98.9,0.5,0,0,0.5,0,230000,0,17.1,6.2,5.8,5.5,0.1,65.3,48.9,51.1,214,630,637,11.2,13.3
23,2023,belchertown,240000,175,93.7,2.9,0,0,3.4,0,240000,0.2,1.6,2,4.5,3.2,0.2,88.4,49.4,50.6,102,561,543,12.3,24.5
24,2023,bellingham,250000,115,91.3,3.5,0,0,5.2,0,250000,0.1,2.7,1.9,4.5,2.1,0.4,88.2,49.6,50.3,90,555,517,12.9,31.6
25,2023,belmont,260000,289,97.6,2.4,0,0,0,0,260000,0.1,20.1,3.4,4.2,7.1,0.1,65.1,49,51,351,644,656,15,11.9
27,2023,berkshire hills,6180000,100,91,4,0,0,5,0,6180000,0.2,2.7,1.7,8.7,5.2,0.2,81.3,48.7,51.3,66,557,532,10,43.4
